Questão,Descrição
Q001,Qual é o seu sexo?
Q002,Qual é a sua cor ou raça?
Q003,Você poderia nos dizer qual é o mês de seu aniversário?
Q004,Em que ano você nasceu?
Q005,Na sua casa tem televisão em cores?
Q006,Na sua casa tem aparelho de rádio?
Q007,Na sua casa tem videocassete e/ou DVD?
Q008,Na sua casa tem geladeira?
Q009,Na sua casa tem freezer (parte da geladeira duplex)?
Q010,Na sua casa tem freezer separado da geladeira?
Q011,". Na sua casa tem máquina de lavar roupa (O tanquinho
NÃO deve ser considerado)?"
Q012,Na sua casa tem carro?
Q013,Na sua casa tem computador?
Q014,. Na sua casa tem banheiro?
Q015,Na sua casa tem quartos para dormir?
Q016,"Incluindo você, quantas pessoas vivem atualmente em
sua casa?"
Q017,"Em sua casa trabalha empregado(a) doméstico(a) pelo
menos cinco dias por semana?"
Q018,Você mora com sua mãe?
Q019,"Até que série sua mãe, ou a mulher responsável por
você, estudou?"
Q020,"Sua mãe, ou a mulher responsável por você, sabe ler e
escrever?"
Q021,". Você vê sua mãe, ou a mulher responsável por você, lendo?"
Q022,Você mora com seu pai?
Q023,"Até que série seu pai, ou o homem responsável por você, estudou?"
Q024,"Seu pai, ou o homem responsável por você, sabe ler e escrever?"
Q025,"Você vê o seu pai, ou o homem responsável por você, lendo?"
Q026,"Com qual frequência seus pais, ou responsáveis por você, vão à
reunião de pais?"
Q027,Seus pais ou responsáveis incentivam você a estudar?
Q028,"Seus pais ou responsáveis incentivam você a fazer o
dever de casa e/ou os trabalhos da escola?"
Q029,. Seus pais ou responsáveis incentivam você a ler?
Q030,"Seus pais ou responsáveis incentivam você a ir à
escola e/ou não faltar às aulas?"
Q031,"Seus pais ou responsáveis conversam com você
sobre o que acontece na escola?"
Q032,Com qual frequência você lê: Revistas informativas em geral.
Q033,Com qual frequência você lê: Gibis
Q034,Com qual frequência você lê: Livros em geral.
Q035,Com qual frequência você lê: Notícias e/ou textos na internet
Q036,"Em dias de aula, quanto tempo você gasta assistindo à TV, navegando na internet ou jogando jogos eletrônicos?"
Q037,"Em dias de aula, quanto tempo você gasta fazendo trabalhos domésticos
(ex.: lavando louça, limpando o quintal etc.)?"
Q038,"Atualmente você trabalha fora de casa (recebendo
ou não um salário)?"
Q039,. Quando você começou a estudar?
Q040,"A partir da primeira série do Ensino Médio, em que tipo de escola
você estudou?"
Q041,Você já foi reprovado?
Q042,"Você já abandonou a escola durante o período de aulas e ficou fora
da escola o resto do ano?"
Q043,"Você concluiu o Ensino Fundamental na Educação
de Jovens e Adultos(EJA), antigo supletivo?"
Q044,Você gosta de estudar Língua Portuguesa?
Q045,Você faz o dever de casa de Língua Portuguesa?
Q046,"O que você consulta para fazer o dever de
casa de Língua Portuguesa? Jornais."
Q047,"O que você consulta para fazer o dever de
casa de Língua Portuguesa? Revistas de informação geral."
Q048,"O que você consulta para fazer o dever de
casa de Língua Portuguesa? Livros didáticos"
Q049,"O que você consulta para fazer o dever de
casa de Língua Portuguesa? Livros ou enciclopédias."
Q050,"O que você consulta para fazer o dever de
casa de Língua Portuguesa? Sites da internet."
Q051,O(A) professor(a) corrige o dever de casa de Língua Portuguesa?
Q052,Você gosta de estudar Matemática?
Q053,Você faz o dever de casa de Matemática?
Q054,"O que você consulta para fazer o dever de
casa de Matemática? Caderno"
Q055,"O que você consulta para fazer o dever de
casa de Matemática? Livros didáticos."
Q056,"O que você consulta para fazer o dever de
casa de Matemática? Material complementar"
Q057,"O que você consulta para fazer o dever de
casa de Matemática? Revistas e jornais"
Q058,"O que você consulta para fazer o dever de
casa de Matemática? Sites da internet"
Q059,O(A) professor(a) corrige o dever de casa de Matemática?
Q060,Você utiliza a biblioteca ou sala de leitura da sua escola?
